codigo,nombre,descripcion,stock_actual,precio_venta,tiempo_llegada,cantidad_minima
SINCROCIP,Cera Estampada de Abeja (Pack x50),Laminas de cera estampada indispensables para que las abejas estiren y construyan panales eficientemente en primavera.,550,45.00,15,10
SINCROFORTE,Suplemento Proteico Colmenas 20kg,Concentrado nutricional de alta potencia para evitar la mortandad y desnutricion de las abejas en invierno o sequia.,250,65.00,7,5
RESOLUTOR,Tratamiento Organico Varroa,Tratamiento ecologico altamente biodegradable y de rapida accion contra el acaro Varroa (principal plaga apicola).,110,120.00,5,2
OUROVIT-500,Nutriente Foliar Estimulante 5L,Complejo concentrado hidromiscible para absorcion foliar rapida optimizando la floracion y ganancia de biomasa vegetal.,250,85.00,10,4
CIPROLAC,Sanitizante de Material Apicola,Solucion desinfectante de amplio espectro para trajes herramientas alzas y extractores de miel sin dejar residuos nocivos.,500,35.00,4,5
SUPERHION-5L,Control Ecologico de Plagas (5L),Insecticida biologico de amplio espectro para control de insectos daninos en pastos y cultivos seguro para polinizadores.,500,150.00,12,2
IMPACTO-25,Repelente de Acaros Concentrado,Solucion biologica localizada para el control preventivo y curativo de parasitos e infestaciones externas en las colmenas.,750,18.00,5,10
IMPACTO-100,Repelente de Acaros Concentrado (Medio),Solucion biologica localizada para el control preventivo y curativo de parasitos en formatos medianos de produccion.,520,40.00,5,5
DOXIFIN,Antibiotico Apicola Loque,Tratamiento curativo especializado de dosis unica para el control bacteriano de la Loque Americana en las larvas.,420,55.00,8,3
OUROVAC-AFT,Envases de Vidrio para Miel (Caja x100),Frascos de vidrio grado alimentario con tapa hermetica para envasado de miel premium lista para comercializacion.,1500,25.00,20,5
SUPERHION-1L,Control Ecologico de Plagas (1L),Insecticida biologico de amplio espectro para control de plagas en huertos pequenos y parcelas de manejo controlado.,635,38.00,6,5
OUROVIT-250,Nutriente Foliar Estimulante 2.5L,Complejo concentrado para optimizar la floracion y recuperacion de cultivos estresados por granizadas o sequias.,740,48.00,10,5
OUROTETRA,Sanitizador de Suelos Organico,Tratamiento de rapida accion para pododermatitis y afecciones bacterianas del suelo que danan las raices de los cultivos.,1400,95.00,14,2
IMPACTO-1000,Repelente de Acaros Industrial (1L),Protector antiparasitario a granel disenado para grandes apicultores con alta densidad de colmenas en produccion.,550,220.00,15,1
